2015-11-09 19:36:50,782 [Worker-67] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: 01_HelloWorld:01_HelloWorld:0.0.1-SNAPSHOT @ /Users/user/Desktop/LearnSpark/01_HelloWorld/pom.xml.
2015-11-09 19:36:57,250 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-09 19:36:57,275 [Worker-67] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/user/Desktop/LearnSpark/01_HelloWorld/src/main/resources
2015-11-09 19:36:57,879 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-09 19:36:57,880 [Worker-67] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/user/Desktop/LearnSpark/01_HelloWorld/src/test/resources
2015-11-09 19:36:58,196 [Worker-79] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: 01_HelloWorld:01_HelloWorld:0.0.1-SNAPSHOT @ /Users/user/Desktop/LearnSpark/01_HelloWorld/pom.xml.
2015-11-09 19:36:58,795 [Worker-79] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: 01_HelloWorld:01_HelloWorld:0.0.1-SNAPSHOT @ /Users/user/Desktop/LearnSpark/02_Basics/pom.xml.
2015-11-09 19:36:58,967 [Worker-79] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: 01_HelloWorld:01_HelloWorld:0.0.1-SNAPSHOT @ /Users/user/Desktop/LearnSpark/03_StaticResources/pom.xml.
2015-11-09 19:36:59,046 [Worker-61] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-09 19:36:59,054 [Worker-61] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/user/Desktop/LearnSpark/01_HelloWorld/src/main/resources
2015-11-09 19:36:59,079 [Worker-79] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: 01_HelloWorld:01_HelloWorld:0.0.1-SNAPSHOT @ /Users/user/Desktop/LearnSpark/04_Views/pom.xml.
2015-11-09 19:36:59,081 [Worker-61] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-09 19:36:59,082 [Worker-61] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/user/Desktop/LearnSpark/01_HelloWorld/src/test/resources
2015-11-09 19:36:59,255 [Worker-61] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: 01_HelloWorld:01_HelloWorld:0.0.1-SNAPSHOT @ /Users/user/Desktop/LearnSpark/02_Basics/pom.xml.
2015-11-09 19:36:59,626 [Worker-61] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-09 19:36:59,627 [Worker-61] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/user/Desktop/LearnSpark/02_Basics/src/main/resources
2015-11-09 19:36:59,629 [Worker-61] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-09 19:36:59,630 [Worker-61] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/user/Desktop/LearnSpark/02_Basics/src/test/resources
2015-11-09 19:36:59,734 [Worker-61] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: 01_HelloWorld:01_HelloWorld:0.0.1-SNAPSHOT @ /Users/user/Desktop/LearnSpark/03_StaticResources/pom.xml.
2015-11-09 19:36:59,951 [Worker-61] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-09 19:36:59,951 [Worker-61] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/user/Desktop/LearnSpark/03_StaticResources/src/main/resources
2015-11-09 19:36:59,962 [Worker-61] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-09 19:36:59,962 [Worker-61] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/user/Desktop/LearnSpark/03_StaticResources/src/test/resources
2015-11-09 19:37:00,215 [Worker-61] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: 01_HelloWorld:01_HelloWorld:0.0.1-SNAPSHOT @ /Users/user/Desktop/LearnSpark/04_Views/pom.xml.
2015-11-09 19:37:00,481 [Worker-61] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-09 19:37:00,482 [Worker-61] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/user/Desktop/LearnSpark/04_Views/src/main/resources
2015-11-09 19:37:00,484 [Worker-61] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-09 19:37:00,485 [Worker-61] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/user/Desktop/LearnSpark/04_Views/src/test/resources
2015-11-09 19:37:01,053 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-09 19:37:01,054 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/user/Desktop/LearnSpark/02_Basics/src/main/resources
2015-11-09 19:37:01,063 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-09 19:37:01,064 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/user/Desktop/LearnSpark/02_Basics/src/test/resources
2015-11-09 19:37:01,965 [Worker-29] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: 01_HelloWorld:01_HelloWorld:0.0.1-SNAPSHOT @ /Users/user/Desktop/LearnSpark/01_HelloWorld/pom.xml.
2015-11-09 19:37:01,993 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-09 19:37:01,994 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/user/Desktop/LearnSpark/04_Views/src/main/resources
2015-11-09 19:37:01,998 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-09 19:37:01,999 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/user/Desktop/LearnSpark/04_Views/src/test/resources
2015-11-09 19:37:02,524 [Worker-29] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: 01_HelloWorld:01_HelloWorld:0.0.1-SNAPSHOT @ /Users/user/Desktop/LearnSpark/02_Basics/pom.xml.
2015-11-09 19:37:02,564 [Worker-29] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: 01_HelloWorld:01_HelloWorld:0.0.1-SNAPSHOT @ /Users/user/Desktop/LearnSpark/03_StaticResources/pom.xml.
2015-11-09 19:37:02,666 [Worker-29] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: 01_HelloWorld:01_HelloWorld:0.0.1-SNAPSHOT @ /Users/user/Desktop/LearnSpark/04_Views/pom.xml.
2015-11-09 19:37:02,844 [Worker-29] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: 05_REST_CRUD:05_REST_CRUD:0.0.1-SNAPSHOT @ /Users/user/Desktop/LearnSpark/05_REST_CRUD/pom.xml.
2015-11-09 19:37:02,875 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: 05_REST_CRUD:05_REST_CRUD:0.0.1-SNAPSHOT @ /Users/user/Desktop/LearnSpark/05_REST_CRUD/pom.xml.
2015-11-09 19:37:03,204 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-09 19:37:03,205 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/user/Desktop/LearnSpark/05_REST_CRUD/src/main/resources
2015-11-09 19:37:03,207 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-09 19:37:03,207 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/user/Desktop/LearnSpark/05_REST_CRUD/src/test/resources
2015-11-09 19:37:03,340 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: 06_JSON:06_JSON:0.0.1-SNAPSHOT @ /Users/user/Desktop/LearnSpark/06_JSON/pom.xml.
2015-11-09 19:37:03,699 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-09 19:37:03,700 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/user/Desktop/LearnSpark/06_JSON/src/main/resources
2015-11-09 19:37:03,702 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-09 19:37:03,703 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/user/Desktop/LearnSpark/06_JSON/src/test/resources
2015-11-09 19:37:04,442 [Worker-57] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: 01_HelloWorld:01_HelloWorld:0.0.1-SNAPSHOT @ /Users/user/Desktop/LearnSpark/01_HelloWorld/pom.xml.
2015-11-09 19:37:04,691 [Worker-57] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: 01_HelloWorld:01_HelloWorld:0.0.1-SNAPSHOT @ /Users/user/Desktop/LearnSpark/02_Basics/pom.xml.
